Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",7732,9409,9817,11487,10956,12256,14214,16147,21118,22974,,,19652,,,,22306,17509,,,24333,,,,,,,,,,,,,26211,27648,,,,,95185,,97504,,,262874,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",,25469,28668,,,,,,14695,,,14568,,17500,19670,21285,21995,22403,23784,25201,25964,27461,28001,32684,30185,28331,30086,34257,35902,38502,40125,40859,42160,43600,53014,63257,74747,86863,90606,93139,122326,134877,160839,173029,173819,160527,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,201982,203529,,258995,285930,298117,303111,298133,298767,347410,,,456358,,549009,624788,682775,716452,792121,817968,901562,,1149666,1144271,1188562,1210272,1252579,1245478,1289474,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",,0,632,848,909,833,689,836,1114,860,856,976,987,1007,967,871,758,900,897,909,,,,,,,,,,,,,,,,,,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,306,331,342,401,,459,,,,491,538,498,501,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,5872,5845,6281,6534,6331,,,,,,8337,7845,,,12566,48184,37547,48184,48694,,,,,142798,,218679,,221037,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,1170,1068,1792,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",274634,321782,351287,423824,497727,596736,601395,536450,477725,498928,491473,527596,550556,580626,677535,846145,902882,958542,,,,1008231,,,1069617,,,,1526515,1600882,1766933,1918708,2026735,2101437,2116876,2082577,2202032,2208291,2287874,2387049,2520985,2660514,2726557,2768211,2869450,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,55871,,55700,58959,65300,69470,67019,58729,47203,45983,40326,54818,82776,89261,92914,90417,99761,104891,108750,115475,127499,135725,141407,146224,146125,141455,121265,115207,113090,107665,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446,1578,1628,1592,1672,1704,2106,2094,2232,2242,2196,2330,2504,2621,1181,1235,1166,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",179664,193532,208149,223855,252972,274738,289701,300030,309783,317496,323716,334030,337953,349243,358498,370048,390706,393734,420845,441076,485075,534530,559365,922699,932969,964998,1002476,1041648,869172,845636,845132,868689,1012210,1005977,1002998,1024589,1040153,1083715,1117804,1199845,1276488,1324257,1364203,1390478,1453521,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",,59778,66401,73467,78787,84101,96736,104525,110948,118672,127746,136774,140720,146351,154126,165313,173215,179909,188192,192700,199845,205767,216529,221389,227444,233989,238981,240632,247498,252893,261229,264669,223735,229802,238522,244410,253139,260975,284791,308150,350187,361797,376498,422778.219,421224.813,425971.688,,,,,,,,,,,,,,,,,,,
