,country,code,indicator,time,percentage
1,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.0692
2,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
3,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
4,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
5,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
6,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
7,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
8,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1.15
9,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
10,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
11,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1.4365
12,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
13,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
14,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
15,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
16,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0.1831
17,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
18,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
19,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
20,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
21,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
22,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
23,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
