,country,code,indicator,time,value
1,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,7732
2,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
3,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
4,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
5,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
6,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
7,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
8,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,274634
9,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
10,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
11,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,179664
12,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
13,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
14,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
15,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
16,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,117603
17,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
18,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
19,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
20,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
21,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
22,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
23,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
24,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,35250
25,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
26,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0
27,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,430473
28,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
29,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
30,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
31,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
32,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
33,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
34,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
35,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
36,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
37,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
38,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
39,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
40,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
41,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,78430
42,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,108617
43,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,85560
44,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
45,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
46,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
47,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,15473
48,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
49,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
50,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
51,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
52,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
53,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
54,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
55,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
56,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
57,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
58,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
59,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
60,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,9515
61,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
62,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
63,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
64,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
65,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
66,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,359
67,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
68,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
69,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
70,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
71,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
72,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
73,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
74,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
75,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
76,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
77,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
78,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
