year,both sex,female,male
1970,32985200.0,13613302.0,19371898.0
1971,33845156.0,13974187.0,19870969.0
1972,35613220.0,14762975.0,20850245.0
1973,37318712.0,15644908.0,21673804.0
1974,39182280.0,16565080.0,22617200.0
1975,41537384.0,17700164.0,23837220.0
1976,44033492.0,18780274.0,25253218.0
1977,45101796.0,19586262.0,25515534.0
1978,46951244.0,20549092.0,26402152.0
1979,48364468.0,21282978.0,27081490.0
1980,50083656.0,22137640.0,27946016.0
1981,52456408.0,23217258.0,29239150.0
1982,54372544.0,24253048.0,30119496.0
1983,56510464.0,25205940.0,31304524.0
1984,59353824.0,26528314.0,32825510.0
1985,60928916.0,27324700.0,33604216.0
1986,61842860.0,27642544.0,34200316.0
1987,63534268.0,28465910.0,35068358.0
1988,64176316.0,29083684.0,35092632.0
1989,65887972.0,30057410.0,35830562.0
1990,67904552.0,31308824.0,36595728.0
1991,69683080.0,32317242.0,37365838.0
1992,71404000.0,33474698.0,37929302.0
1993,73708504.0,34796320.0,38912184.0
1994,76694992.0,36290152.0,40404840.0
1995,79976512.0,38121724.0,41854788.0
1996,82817824.0,39528172.0,43289652.0
1997,86790360.0,41725376.0,45064984.0
1998,88990680.0,43013240.0,45977440.0
1999,94833104.0,46183024.0,48650080.0
2000,99718336.0,48686248.0,51032088.0
2001,106713888.0,52190500.0,54523388.0
2002,116801632.0,57834956.0,58966676.0
2003,125312912.0,62104892.0,63208020.0
2004,132433952.0,65963476.0,66470476.0
2005,139271328.0,69730960.0,69540368.0
2006,146924896.0,74066480.0,72858416.0
2007,155276992.0,78395320.0,76881672.0
2008,164139360.0,82989576.0,81149784.0
2009,172163056.0,87078288.0,85084768.0
2010,181424688.0,91712408.0,89712280.0
2011,191053856.0,96473136.0,94580720.0
2012,196920288.0,100184080.0,96736208.0
2013,198961536.0,101575144.0,97386392.0
2014,210729968.0,107862848.0,102867120.0
2015,212670016.0,108841488.0,103828528.0
